,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
0,0,1979.0,50.01,96.730003,6827700.288187708,9.43,11.3
1,1,1979.0,50.01,97.800003,6827700.288187708,9.43,11.3
2,2,1979.0,50.01,98.58000200000001,6827700.288187708,9.43,11.3
3,3,1979.0,50.01,99.129997,6827700.288187708,9.43,11.3
4,4,1979.0,50.01,98.800003,6827700.288187708,9.43,11.3
5,5,1979.0,50.01,99.33000200000001,6827700.288187708,9.43,11.3
6,6,1979.0,50.01,98.769997,6827700.288187708,9.43,11.3
7,7,1979.0,50.01,99.099998,6827700.288187708,9.43,11.3
8,8,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
9,9,1979.0,50.01,100.690002,6827700.288187708,9.43,11.3
10,10,1979.0,50.01,99.459999,6827700.288187708,9.43,11.3
11,11,1979.0,50.01,99.480003,6827700.288187708,9.43,11.3
12,12,1979.0,50.01,99.720001,6827700.288187708,9.43,11.3
13,13,1979.0,50.01,99.75,6827700.288187708,9.43,11.3
14,14,1979.0,50.01,99.900002,6827700.288187708,9.43,11.3
15,15,1979.0,50.01,100.599998,6827700.288187708,9.43,11.3
16,16,1979.0,50.01,100.160004,6827700.288187708,9.43,11.3
17,17,1979.0,50.01,101.190002,6827700.288187708,9.43,11.3
18,18,1979.0,50.01,101.860001,6827700.288187708,9.43,11.3
19,19,1979.0,50.01,101.550003,6827700.288187708,9.43,11.3
20,20,1979.0,50.01,101.050003,6827700.288187708,9.43,11.3
21,21,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
22,22,1979.0,50.01,99.959999,6827700.288187708,9.43,11.3
23,23,1979.0,50.01,99.5,6827700.288187708,9.43,11.3
24,24,1979.0,50.01,98.089996,6827700.288187708,9.43,11.3
25,25,1979.0,50.01,98.050003,6827700.288187708,9.43,11.3
26,26,1979.0,50.01,97.160004,6827700.288187708,9.43,11.3
27,27,1979.0,50.01,97.650002,6827700.288187708,9.43,11.3
28,28,1979.0,50.01,97.870003,6827700.288187708,9.43,11.3
29,29,1979.0,50.01,98.199997,6827700.288187708,9.43,11.3
30,30,1979.0,50.01,98.93,6827700.288187708,9.43,11.3
31,31,1979.0,50.01,98.870003,6827700.288187708,9.43,11.3
32,32,1979.0,50.01,98.730003,6827700.288187708,9.43,11.3
33,33,1979.0,50.01,98.66999799999999,6827700.288187708,9.43,11.3
34,34,1979.0,50.01,99.41999799999999,6827700.288187708,9.43,11.3
35,35,1979.0,50.01,99.07,6827700.288187708,9.43,11.3
36,36,1979.0,50.01,98.33000200000001,6827700.288187708,9.43,11.3
37,37,1979.0,50.01,97.779999,6827700.288187708,9.43,11.3
38,38,1979.0,50.01,97.66999799999999,6827700.288187708,9.43,11.3
39,39,1979.0,50.01,96.129997,6827700.288187708,9.43,11.3
40,40,1979.0,50.01,96.279999,6827700.288187708,9.43,11.3
41,41,1979.0,50.01,96.900002,6827700.288187708,9.43,11.3
42,42,1979.0,50.01,96.970001,6827700.288187708,9.43,11.3
43,43,1979.0,50.01,98.059998,6827700.288187708,9.43,11.3
44,44,1979.0,50.01,97.870003,6827700.288187708,9.43,11.3
45,45,1979.0,50.01,98.440002,6827700.288187708,9.43,11.3
46,46,1979.0,50.01,99.58000200000001,6827700.288187708,9.43,11.3
47,47,1979.0,50.01,99.540001,6827700.288187708,9.43,11.3
48,48,1979.0,50.01,99.66999799999999,6827700.288187708,9.43,11.3
49,49,1979.0,50.01,99.839996,6827700.288187708,9.43,11.3
50,50,1979.0,50.01,99.709999,6827700.288187708,9.43,11.3
51,51,1979.0,50.01,99.860001,6827700.288187708,9.43,11.3
52,52,1979.0,50.01,100.690002,6827700.288187708,9.43,11.3
53,53,1979.0,50.01,101.059998,6827700.288187708,9.43,11.3
54,54,1979.0,50.01,100.5,6827700.288187708,9.43,11.3
55,55,1979.0,50.01,101.25,6827700.288187708,9.43,11.3
56,56,1979.0,50.01,101.66999799999999,6827700.288187708,9.43,11.3
57,57,1979.0,50.01,101.599998,6827700.288187708,9.43,11.3
58,58,1979.0,50.01,101.040001,6827700.288187708,9.43,11.3
59,59,1979.0,50.01,102.480003,6827700.288187708,9.43,11.3
60,60,1979.0,50.01,102.120003,6827700.288187708,9.43,11.3
61,61,1979.0,50.01,102.029999,6827700.288187708,9.43,11.3
62,62,1979.0,50.01,101.589996,6827700.288187708,9.43,11.3
63,63,1979.0,50.01,100.900002,6827700.288187708,9.43,11.3
64,64,1979.0,50.01,102.400002,6827700.288187708,9.43,11.3
65,65,1979.0,50.01,102.650002,6827700.288187708,9.43,11.3
66,66,1979.0,50.01,103.260002,6827700.288187708,9.43,11.3
67,67,1979.0,50.01,103.18,6827700.288187708,9.43,11.3
68,68,1979.0,50.01,102.870003,6827700.288187708,9.43,11.3
69,69,1979.0,50.01,103.339996,6827700.288187708,9.43,11.3
70,70,1979.0,50.01,102.309998,6827700.288187708,9.43,11.3
71,71,1979.0,50.01,102.0,6827700.288187708,9.43,11.3
72,72,1979.0,50.01,101.120003,6827700.288187708,9.43,11.3
73,73,1979.0,50.01,101.239998,6827700.288187708,9.43,11.3
74,74,1979.0,50.01,101.699997,6827700.288187708,9.43,11.3
75,75,1979.0,50.01,101.279999,6827700.288187708,9.43,11.3
76,76,1979.0,50.01,101.230003,6827700.288187708,9.43,11.3
77,77,1979.0,50.01,101.57,6827700.288187708,9.43,11.3
78,78,1979.0,50.01,102.199997,6827700.288187708,9.43,11.3
79,79,1979.0,50.01,102.5,6827700.288187708,9.43,11.3
80,80,1979.0,50.01,102.010002,6827700.288187708,9.43,11.3
81,81,1979.0,50.01,101.800003,6827700.288187708,9.43,11.3
82,82,1979.0,50.01,101.760002,6827700.288187708,9.43,11.3
83,83,1979.0,50.01,101.68,6827700.288187708,9.43,11.3
84,84,1979.0,50.01,101.720001,6827700.288187708,9.43,11.3
85,85,1979.0,50.01,101.809998,6827700.288187708,9.43,11.3
86,86,1979.0,50.01,100.690002,6827700.288187708,9.43,11.3
87,87,1979.0,50.01,99.019997,6827700.288187708,9.43,11.3
88,88,1979.0,50.01,99.16999799999999,6827700.288187708,9.43,11.3
89,89,1979.0,50.01,99.459999,6827700.288187708,9.43,11.3
90,90,1979.0,50.01,98.519997,6827700.288187708,9.43,11.3
91,91,1979.0,50.01,98.519997,6827700.288187708,9.43,11.3
92,92,1979.0,50.01,98.059998,6827700.288187708,9.43,11.3
93,93,1979.0,50.01,98.139999,6827700.288187708,9.43,11.3
94,94,1979.0,50.01,98.41999799999999,6827700.288187708,9.43,11.3
95,95,1979.0,50.01,99.940002,6827700.288187708,9.43,11.3
96,96,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
97,97,1979.0,50.01,100.139999,6827700.288187708,9.43,11.3
98,98,1979.0,50.01,100.510002,6827700.288187708,9.43,11.3
99,99,1979.0,50.01,99.889999,6827700.288187708,9.43,11.3
100,100,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
101,101,1979.0,50.01,100.220001,6827700.288187708,9.43,11.3
102,102,1979.0,50.01,100.050003,6827700.288187708,9.43,11.3
103,103,1979.0,50.01,99.110001,6827700.288187708,9.43,11.3
104,104,1979.0,50.01,99.08000200000001,6827700.288187708,9.43,11.3
105,105,1979.0,50.01,99.16999799999999,6827700.288187708,9.43,11.3
106,106,1979.0,50.01,99.32,6827700.288187708,9.43,11.3
107,107,1979.0,50.01,100.620003,6827700.288187708,9.43,11.3
108,108,1979.0,50.01,101.300003,6827700.288187708,9.43,11.3
109,109,1979.0,50.01,101.790001,6827700.288187708,9.43,11.3
110,110,1979.0,50.01,101.489998,6827700.288187708,9.43,11.3
111,111,1979.0,50.01,101.910004,6827700.288187708,9.43,11.3
112,112,1979.0,50.01,102.849998,6827700.288187708,9.43,11.3
113,113,1979.0,50.01,102.309998,6827700.288187708,9.43,11.3
114,114,1979.0,50.01,102.199997,6827700.288187708,9.43,11.3
115,115,1979.0,50.01,102.089996,6827700.288187708,9.43,11.3
116,116,1979.0,50.01,101.559998,6827700.288187708,9.43,11.3
117,117,1979.0,50.01,101.58000200000001,6827700.288187708,9.43,11.3
118,118,1979.0,50.01,101.629997,6827700.288187708,9.43,11.3
119,119,1979.0,50.01,102.089996,6827700.288187708,9.43,11.3
120,120,1979.0,50.01,102.639999,6827700.288187708,9.43,11.3
121,121,1979.0,50.01,102.089996,6827700.288187708,9.43,11.3
